Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34912895,The Great Alone,Kristin Hannah,"Hannah, Kristin",,"=""""","=""""",0,St. Martin's Press,Kindle Edition,435,2018,2018,,2026/06/14,,,read,,,,1,0
35504431,Turtles All the Way Down,John  Green,"Green, John",,"=""0525555366""","=""9780525555360""",0,Dutton Books for Young Readers,Hardcover,290,2017,2017,,2026/06/14,,,read,,,,1,0
6567017,"Will Grayson, Will Grayson",John  Green,"Green, John",David Levithan,"=""0525421580""","=""9780525421580""",0,Dutton Books,Hardcover,320,2010,2010,,2026/06/14,,,read,,,,1,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",0,Celadon Books,Hardcover,336,2019,2019,,2026/08/13,,,read,,,,1,0
19089,Middlemarch,George Eliot,"Eliot, George",Michel Faber,"=""0451529170""","=""9780451529176""",0,Signet,Mass Market Paperback,912,2003,1872,,2026/08/10,,,read,,,,1,0
62080187,Never Lie,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,Hollywood Upstairs Press,Kindle Edition,286,2022,2022,,2026/08/04,,,read,,,,1,0
37435,The Secret Life of Bees,Sue Monk Kidd,"Kidd, Sue Monk",,"=""0142001740""","=""9780142001745""",0,Penguin Books,Paperback,352,2003,2001,,2026/08/04,to-read,to-read (#61),to-read,,,,0,0
22557272,The Girl on the Train,Paula Hawkins,"Hawkins, Paula",,"=""1594633665""","=""9781594633669""",0,Riverhead Books,Hardcover,336,2015,2015,,2026/08/04,to-read,to-read (#60),to-read,,,,0,0
662,Atlas Shrugged,Ayn Rand,"Rand, Ayn",Leonard Peikoff,"=""0452011876""","=""9780452011878""",0,Plume,Paperback,1168,1999,1957,,2026/08/04,to-read,to-read (#59),to-read,,,,0,0
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann",Hilda Rosner,"=""""","=""""",0,Bantam Books,Mass Market Paperback,152,1981,1922,,2026/08/04,to-read,to-read (#58),to-read,,,,0,0
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",0,Alfred A. Knopf,Hardcover,241,2006,2006,,2026/08/04,to-read,to-read (#57),to-read,,,,0,0
10917,My Sister's Keeper,Jodi Picoult,"Picoult, Jodi",,"=""0743454537""","=""9780743454537""",0,Atria/Emily Bestler Books,Paperback,423,2005,2004,,2026/08/04,to-read,to-read (#56),to-read,,,,0,0
332613,One Flew Over the Cuckoo’s Nest,Ken Kesey,"Kesey, Ken",,"=""""","=""""",0,Signet,Mass Market Paperback,325,1963,1962,,2026/08/04,to-read,to-read (#55),to-read,,,,0,0
52892857,The Color Purple,Alice Walker,"Walker, Alice",,"=""0143135694""","=""9780143135692""",0,Penguin Books,Paperback,287,2019,1982,,2026/08/04,to-read,to-read (#54),to-read,,,,0,0
17899948,Rebecca,Daphne du Maurier,"Maurier, Daphne du",,"=""0316323705""","=""9780316323703""",0,"Little, Brown and Company",Kindle Edition,449,2013,1938,,2026/08/04,to-read,to-read (#53),to-read,,,,0,0
43641,Water for Elephants,Sara Gruen,"Gruen, Sara",,"=""1565125606""","=""9781565125605""",0,Algonquin Books,Paperback,368,2007,2006,,2026/08/04,to-read,to-read (#52),to-read,,,,0,0
39988,Matilda,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""043512398X""","=""9780435123987""",0,New Windmills,Hardcover,240,1992,1988,,2026/08/04,to-read,to-read (#51),to-read,,,,0,0
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""""","=""""",0,Harper Perennial Modern Classics,Paperback,294,2006,1963,,2026/08/04,to-read,to-read (#50),to-read,,,,0,0
4214,Life of Pi,Yann Martel,"Martel, Yann",,"=""0770430074""","=""9780770430078""",0,Seal Books,Paperback,460,2006,2001,,2026/08/04,to-read,to-read (#49),to-read,,,,0,0
19543,Where the Wild Things Are,Maurice Sendak,"Sendak, Maurice",,"=""0099408392""","=""9780099408390""",0,Red Fox,Paperback,38,2000,1963,,2026/08/04,to-read,to-read (#48),to-read,,,,0,0
23772,Green Eggs and Ham,Dr. Seuss,"Seuss, Dr.",,"=""0394800168""","=""9780394800165""",0,Random House Books for Young Readers,Hardcover,64,1988,1960,,2026/08/04,to-read,to-read (#47),to-read,,,,0,0
18619684,The Time Traveler's Wife,Audrey Niffenegger,"Niffenegger, Audrey",,"=""1939126010""","=""9781939126016""",0,Zola Books,ebook,537,2013,2003,,2026/08/04,to-read,to-read (#46),to-read,,,,0,0
21787,The Princess Bride,William Goldman,"Goldman, William",,"=""0345418263""","=""9780345418265""",0,Ballantine Books,Paperback,429,2003,1973,,2026/08/04,to-read,to-read (#45),to-read,,,,0,0
2998,The Secret Garden,Frances Hodgson Burnett,"Burnett, Frances Hodgson",,"=""0517189607""","=""9780517189603""",0,Children's Classics,Hardcover,331,1998,1911,,2026/08/04,to-read,to-read (#44),to-read,,,,0,0
24178,Charlotte’s Web,E.B. White,"White, E.B.","Garth Williams, Rosemary Wells","=""0064410935""","=""9780064410939""",0,HarperCollinsPublishers,Paperback,184,2001,1952,,2026/08/04,to-read,to-read (#42),to-read,,,,0,0
4667024,The Help,Kathryn Stockett,"Stockett, Kathryn",,"=""0399155341""","=""9780399155345""",0,G.P. Putnam's Sons,Hardcover,451,2009,2009,,2026/08/04,to-read,to-read (#43),to-read,,,,0,0
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",0,Del Rey Books,Mass Market Paperback,216,2005,1979,,2026/08/04,to-read,to-read (#41),to-read,,,,0,0
929,Memoirs of a Geisha,Arthur Golden,"Golden, Arthur",,"=""1400096898""","=""9781400096893""",0,Vintage Books USA,Mass Market Paperback,503,2005,1997,,2026/08/04,to-read,to-read (#40),to-read,,,,0,0
18405,Gone with the Wind,Margaret Mitchell,"Mitchell, Margaret",,"=""0446365386""","=""9780446365383""",0,Warner Books,Mass Market Paperback,1037,1993,1936,,2026/08/04,,,read,,,,1,0
370493,The Giving Tree,Shel Silverstein,"Silverstein, Shel",,"=""0060256656""","=""9780060256654""",0,HarperCollins Publishers,Hardcover,64,1964,1964,,2026/08/04,to-read,to-read (#39),to-read,,,,0,0
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,"=""""","=""""",0,MTV Books/Pocket Books,Hardcover,213,1999,1999,,2026/08/04,to-read,to-read (#38),to-read,,,,0,0
1953,A Tale of Two Cities,Charles Dickens,"Dickens, Charles",,"=""0141439602""","=""9780141439600""",0,Penguin Books,Paperback,489,2003,1859,,2026/06/14,,,read,,,,1,0
233667,Firestarter,Stephen  King,"King, Stephen",,"=""""","=""""",0,Signet,Mass Market Paperback,564,1998,1980,,2026/07/11,,,read,,,,1,0
